source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
A431,45557473,MEDIS_DIAGEXC_S,H53.5|不完全色盲,4279543,SNOMED,1990-05-01,2099-12-31,
A43B,45596336,MEDIS_DIAGEXC_S,K58.0|混合型過敏性腸症候群,4057826,SNOMED,1990-05-01,2020-04-21,D
A457,45547485,MEDIS_DIAGEXC_S,C25.4|ＶＩＰ産生腫瘍,25486,SNOMED,1990-05-01,2099-12-31,
A45H,45570139,MEDIS_DIAGEXC_S,T09.9|脊椎損傷,194526,SNOMED,1990-05-01,2099-12-31,
A45U,45586508,MEDIS_DIAGEXC_S,H52.5|内眼筋麻痺,4182553,SNOMED,1990-05-01,2099-12-31,
A46L,45538120,MEDIS_DIAGEXC_S,G45.0|脳底動脈循環不全,374055,SNOMED,1990-05-01,2099-12-31,
A46L,45538120,MEDIS_DIAGEXC_S,G45.0|脳底動脈循環不全,376714,SNOMED,1990-05-01,2099-12-31,
A477,45591036,MEDIS_DIAGEXC_S,E14.3|糖尿病黄斑症,443767,SNOMED,1990-05-01,2099-12-31,
A477,45591331,MEDIS_DIAGEXC_S,H36.0|糖尿病黄斑症,4174977,SNOMED,1990-05-01,2099-12-31,
A483,45544114,MEDIS_DIAGEXC_S,Q74.0|小手症,74470,SNOMED,1990-05-01,2099-12-31,
A488,45585958,MEDIS_DIAGEXC_S,B36.8|中耳真菌症,4077081,SNOMED,1990-05-01,2099-12-31,
A492,45576261,MEDIS_DIAGEXC_S,B25.9|サイトメガロウイルス感染症,440032,SNOMED,1990-05-01,2099-12-31,
A49N,45592137,MEDIS_DIAGEXC_S,N44|精巣上体垂捻転,435315,SNOMED,1990-05-01,2099-12-31,
A4A6,45542521,MEDIS_DIAGEXC_S,A21.0|ツラレミアリンパ節炎,312825,SNOMED,1990-05-01,2099-12-31,
A4BL,45564541,MEDIS_DIAGEXC_S,S67.0|爪下挫滅傷,75406,SNOMED,1990-05-01,2099-12-31,
A4F8,45592337,MEDIS_DIAGEXC_S,P59.9|新生児黄疸,435656,SNOMED,1990-05-01,2099-12-31,
A4FU,45591160,MEDIS_DIAGEXC_S,G12.2|家族性筋萎縮性側索硬化症,374631,SNOMED,1990-05-01,2099-12-31,
A4HM,45568119,MEDIS_DIAGEXC_S,R20.1|片側対性知覚麻痺,4161682,SNOMED,1990-05-01,2099-12-31,
A4J6,45566677,MEDIS_DIAGEXC_S,D28.1|腟乳頭腫,201244,SNOMED,1990-05-01,2099-12-31,
A4JB,45556309,MEDIS_DIAGEXC_S,T90.8|鼓膜外傷後遺症,4108943,SNOMED,1990-05-01,2099-12-31,
A4JP,45533476,MEDIS_DIAGEXC_S,I69.3|陳旧性小脳梗塞,4112026,SNOMED,1990-05-01,2099-12-31,
A4KT,45544121,MEDIS_DIAGEXC_S,Q87.8|ローレンス・ムーン症候群,4266662,SNOMED,1990-05-01,2099-12-31,
A4L5,45595736,MEDIS_DIAGEXC_S,D17.7|腎血管脂肪腫,4112852,SNOMED,1990-05-01,2099-12-31,
A4MK,45608765,MEDIS_DIAGEXC_S,T17.9|気道内異物による窒息,4094822,SNOMED,1990-05-01,2099-12-31,
A4MQ,45596296,MEDIS_DIAGEXC_S,K07.5|開口障害,201603,SNOMED,1990-05-01,2099-12-31,
A4NR,45552335,MEDIS_DIAGEXC_S,D21.9|横紋筋腫,442105,SNOMED,1990-05-01,2099-12-31,
A4PD,45592365,MEDIS_DIAGEXC_S,Q22.4|三尖弁閉鎖症,4263510,SNOMED,1990-05-01,2099-12-31,
A4PH,45605373,MEDIS_DIAGEXC_S,D50.9|鉄欠乏性貧血,436659,SNOMED,1990-05-01,2099-12-31,
A4Q0,45586248,MEDIS_DIAGEXC_S,F60.2|非社会性パーソナリティ障害,440988,SNOMED,1990-05-01,2099-12-31,
A4QP,45587240,MEDIS_DIAGEXC_S,N28.8|腎杯憩室,40483287,SNOMED,1990-05-01,2099-12-31,
A4QT,45572068,MEDIS_DIAGEXC_S,H90.8|混合性難聴,379832,SNOMED,1990-05-01,2099-12-31,
A4R6,45538391,MEDIS_DIAGEXC_S,I60.8|脳動静脈奇形破裂,4148906,SNOMED,1990-05-01,2099-12-31,
A4RF,42618347,MEDIS_DIAGEXC_S,M72.66|下腿壊死性筋膜炎,72986,SNOMED,2016-12-01,2099-12-31,
A4RF,42618347,MEDIS_DIAGEXC_S,M72.66|下腿壊死性筋膜炎,133566,SNOMED,2016-12-01,2099-12-31,
A4RN,45561790,MEDIS_DIAGEXC_S,C18.9|大腸癌,197500,SNOMED,1990-05-01,2099-12-31,
A4RV,45586094,MEDIS_DIAGEXC_S,D23.6|上腕石灰化上皮腫,4243587,SNOMED,1990-05-01,2099-12-31,
A4S9,45542597,MEDIS_DIAGEXC_S,C43.3|下顎部悪性黒色腫,133713,SNOMED,1990-05-01,2099-12-31,
A4TH,45555695,MEDIS_DIAGEXC_S,T00.0|頭部頚部打撲傷,4108636,SNOMED,1990-05-01,2099-12-31,
A4U0,45581940,MEDIS_DIAGEXC_S,L28.2|妊娠性痒疹,135618,SNOMED,1990-05-01,2099-12-31,
A4U0,45601911,MEDIS_DIAGEXC_S,O99.7|妊娠性痒疹,4058375,SNOMED,1990-05-01,2099-12-31,
A4U7,45573027,MEDIS_DIAGEXC_S,R46.4|行動緩慢,4164648,SNOMED,1990-05-01,2099-12-31,
